Sta         Lon         Lat      Ve         Vn       Vu  SigVe  SigVn    SigVu
BACK   -102.4780    -74.4304     16.53     9.16     16.91       0.74        0.73        2.55
BENN   -116.4590    -84.7865     16.14     0.57     10.97       0.80        0.59        2.27
BERP   -111.8840    -74.5459     18.97     9.12     20.65       0.69        0.69        2.17
BREN   -63.0258     -72.6729     11.26    12.21      0.57       0.47        0.47        1.97
BRIP    158.4691    -75.7957      8.33   -12.18      0.32       0.18        0.20        0.92
BURI    155.8942    -79.1474      6.39   -12.34      1.16       0.18        0.17        0.93
CAPF    -60.5584    -66.0121     14.08     9.09      1.86       0.40        0.35        1.56
CAS1    110.5197    -66.2834      1.46    -9.86      0.74       0.07        0.09        0.28
CLRK   -141.8730    -77.3401     17.21    -2.28      4.88       0.30        0.32        1.34
CONG    167.0855    -77.5346     11.20   -11.08     -2.60       0.15        0.14        0.70
COTE    161.9978    -77.8059      8.44   -11.75      2.88       0.18        0.18        0.91
CRAR    166.6693    -77.8383      9.46   -10.87      1.25       0.13        0.10        0.49
CRDI    -53.1991    -82.8615      6.40    11.37      1.86       0.36        0.41        0.98
DAV1     77.9726    -68.5773     -2.89    -5.43     -2.42       0.08        0.08        0.28
DEVI    161.9771    -81.4767      6.97   -12.00      2.31       0.27        0.21        1.04
DUM1    140.0019    -66.6651      8.72   -11.34     -1.21       0.18        0.18        0.37
DUPT    -62.8169    -64.8049     11.40    11.18     10.86       0.28        0.35        1.41
E1G2    167.1396    -77.5304     10.07   -10.41     -3.09       0.14        0.17        0.74
FALL   -143.6310    -85.3064     12.03    -5.36      4.37       0.47        0.31        1.45
FIE0    168.4235    -76.1446     10.52   -11.24      0.00       0.34        0.38        1.83
FLM5    160.2714    -77.5327      8.17   -12.04      0.58       0.15        0.14        0.74
FONP    -61.6468    -65.2454     13.53     6.91     12.83       0.49        0.61        2.07
FTP4    162.5647    -78.9277      8.22   -11.79      0.91       0.14        0.13        0.68
HAAG    -78.2871    -77.0380     11.04    10.22      5.25       0.42        0.42        0.97
HOOZ    166.9326    -77.5316     10.72   -11.58     -0.62       0.13        0.13        0.66
HOWE   -149.4330    -87.4157     15.77    -6.00      0.05       0.45        0.43        1.43
HOWN    -86.7673    -77.5280     12.12     9.38      2.62       0.41        0.41        0.99
HUGO    -65.6676    -64.9626     14.49    10.92      0.52       0.31        0.43        1.47
IGGY    156.2498    -83.3072      5.43   -12.38      2.73       0.34        0.34        1.00
LEHG    167.1411    -77.5107     10.07   -13.98      1.58       0.11        0.19        0.95
LPLY    -90.2992    -73.1111     12.31     5.73      3.04       1.66        1.44        2.49
LWN0    152.7316    -81.3459      4.74   -12.49      3.13       0.20        0.18        1.12
MACG    167.2466    -77.5326      8.40   -10.94      1.42       0.24        0.20        0.98
MAW1     62.8707    -67.6048     -3.87    -2.50     -1.96       0.10        0.11        0.30
MCAR   -144.3030    -76.3222     16.78    -4.11      4.70       0.64        0.69        1.49
MCM4    166.6693    -77.8383     10.23   -11.54     -0.93       0.08        0.09        0.35
MCMC    166.6693    -77.8383      9.81   -11.44      0.08       0.13        0.14        0.67
MCMD    166.6693    -77.8383      9.72   -11.50     -0.49       0.13        0.13        0.67
MIN0    167.1637    -78.6503      9.52   -11.57     -0.80       0.36        0.31        0.84
NAUS    167.1471    -77.5220     10.06   -13.80     -4.88       0.15        0.18        0.85
OHI2    -57.9013    -63.3211     14.72    10.79      2.83       0.29        0.27        0.72
OHI3    -57.9014    -63.3211     14.96     9.70     -0.30       0.43        0.30        0.93
PAL2    -64.0511    -64.7751     12.43    11.29      5.65       0.20        0.24        0.88
PALM    -64.0511    -64.7751     12.81    11.39      3.49       0.13        0.14        0.47
PALV    -64.0511    -64.7751     12.88    10.83      3.63       0.34        0.42        1.53
PATN   -155.0220    -78.0300     15.50    -5.17      3.22       0.47        0.34        1.03
PECE    -68.5564    -85.6119     11.59    11.51     -4.98       0.65        0.60        1.87
RAMG    178.0471    -84.3384      9.12   -10.43      2.45       0.15        0.21        0.96
RAYG    167.1706    -77.5288      8.31   -10.95    -10.57       0.33        0.54        2.57
ROB4    163.1901    -77.0344      9.09   -11.84     -0.25       0.15        0.13        0.63
ROBI    -59.4446    -65.2465     13.99     7.61      6.42       0.49        0.59        1.86
ROTB    -68.1269    -67.5713     14.60    10.22      3.66       0.20        0.17        0.70
ROTH    -68.1258    -67.5714     14.76     9.83      3.38       0.53        0.70        2.49
SCTB    166.7580    -77.8490      9.56   -11.59     -1.38       0.12        0.11        0.66
SDLY   -125.9740    -77.1353     19.19     0.60      0.51       0.31        0.47        1.60
SUGG    -72.1801    -75.2806     11.59    10.33      3.79       0.45        0.45        1.01
SYOG     39.5837    -69.0070     -3.90     2.88      0.90       0.11        0.10        0.35
THUR    -97.5596    -72.5301     15.44     3.94      0.76       0.93        0.94        2.08
VESL     -2.8418    -71.6738     -0.52    10.50     -0.31       0.10        0.11        0.41
VNAD    -64.2542    -65.2460     12.84    10.71      3.87       0.35        0.43        1.28
WHN0    154.2201    -79.8457      5.60   -12.35      2.00       0.22        0.21        0.93
WHTM   -104.3930    -82.6832     16.50     6.45      2.50       0.73        0.98        1.91
WILN    -80.5579    -80.0398     10.20     9.14      4.57       0.36        0.39        0.96
ZHON     76.3633    -69.2425     -3.60    -4.83     -1.94       0.39        0.37        1.47
